,relationRT,relationOrange,relationBlue,relationOrangeBlue,expRT,expOrange,expBlue,expBoth,intention1RT,intention1,intention2RT,intention2,desireRT,desire,knowledge1RT,knowledge1,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionOrange,attentionBlue,attentionBulb,id,language,age,gender,condition,totalRT,flat,intentionMean,relationBlueNorm,relationOrangeNorm,relationOrangeBlueNorm,max,expBlueNorm,expOrangeNorm,expBothNorm,expectationMax
106,50.274,7,5,7,35.8,5,6,8,11.149,7,9.215,9,7.438,8,9.111,8,6.174,1,12.469,2,11.333,0,0,1,5ef5c8738c92d822fbe4072c,Greek,31,Male,condition 2,5.069266667,FALSE,8,0.263157895,0.368421053,0.368421053,19,0.315789474,0.263157895,0.421052632,19
107,19.543,7,1,9,22.556,4,7,9,6.468,9,4.24,9,4.464,9,6.239,8,6.959,2,14.766,2,17.919,0,0,1,60e222957bb8b314f1883775,italian,21,Male,condition 2,3.968483333,FALSE,9,0.058823529,0.411764706,0.529411765,17,0.35,0.2,0.45,20
108,25.699,2,7,7,24.52,4,4,4,6.528,8,3.752,8,4.956,9,8.312,4,5.614,2,13.184,2,10.981,0,0,1,577bfad9d8e8880001b31280,English,67,Male,condition 2,3.828616667,FALSE,8,0.4375,0.125,0.4375,16,0.333333333,0.333333333,0.333333333,12
109,41.205,9,1,7,57.52,9,7,4,23.321,9,9.333,8,6.368,9,20.607,7,28.981,1,50.057,2,18.844,0,0,1,5b4ee6a830e986000136c7a8,Hungarian,39,Male,condition 1,6.9391,FALSE,8.5,0.058823529,0.529411765,0.411764706,17,0.35,0.45,0.2,20
110,30.036,5,5,5,22.861,5,5,5,11.28,5,6.796,9,15.112,6,10.314,2,10.408,1,28.412,2,13.338,0,0,1,613158c6036578839f7567c9,English,31,Female,condition 2,6.746233333,FALSE,7,0.333333333,0.333333333,0.333333333,15,0.333333333,0.333333333,0.333333333,15
111,48.148,5,1,9,68.058,4,7,2,17.756,8,5.454,9,10.761,9,7.913,7,10.495,2,17.232,2,21.072,0,0,1,6146fb92e89e10d7aa8662a2,English,46,Female,condition 2,6.313683333,FALSE,8.5,0.066666667,0.333333333,0.6,15,0.538461538,0.307692308,0.153846154,13
112,42.67,9,1,5,45.372,2,8,1,13.354,9,21.974,9,7.096,9,15.142,8,12.249,2,16.81,2,47.242,1,0,1,614cafc275fe6c0904897b81,NA,NA,NA,condition 2,7.5921,FALSE,9,0.066666667,0.6,0.333333333,15,0.727272727,0.181818182,0.090909091,11
113,34.82,5,5,9,61.675,7,5,9,13.22,7,7.791,5,6.256,7,10.768,6,9.431,1,30.877,2,26.142,0,0,1,60faab394a1729764adb9a29,Ndebele,46,Female,condition 2,8.969066667,FALSE,6,0.263157895,0.263157895,0.473684211,19,0.238095238,0.333333333,0.428571429,21
114,56.619,5,5,9,43.587,5,7,9,11.835,5,8.836,9,6.678,9,11.673,6,13.156,3,31.069,2,35.373,0,0,1,6078226a42618c94b141f281,NA,NA,NA,condition 1,9.131683333,FALSE,7,0.263157895,0.263157895,0.473684211,19,0.333333333,0.238095238,0.428571429,21
115,83.187,5,5,9,25.126,3,9,6,5.871,6,8.796,2,4.801,9,14.317,6,19.235,4,12.207,2,27.057,0,0,1,5f327e4f90c88803fa5e8b23,Spanish,20,Female,condition 2,7.93795,FALSE,4,0.263157895,0.263157895,0.473684211,19,0.5,0.166666667,0.333333333,18
116,16.473,4,1,9,11.431,1,1,9,5.533,8,3.958,9,3.43,8,4.559,3,4.398,1,12.505,2,377.197,0,0,1,5e81c7b87412d48be61aaaab,NA,NA,NA,condition 1,10.41515,FALSE,8.5,0.071428571,0.285714286,0.642857143,14,0.090909091,0.090909091,0.818181818,11
117,55.61,5,5,9,34.416,4,6,9,23.636,3,7.255,7,15.087,8,10.406,5,15.784,1,24.898,2,17.151,0,0,1,61742a7ce1d8d7bf5802d666,Xhosa,23,Female,condition 2,10.1382,FALSE,5,0.263157895,0.263157895,0.473684211,19,0.315789474,0.210526316,0.473684211,19
118,45.371,7,1,7,41.096,2,8,7,9.83,7,6.815,6,7.712,8,10.935,8,8.367,2,31.087,2,32.949,1,0,1,61547dd2ab5900ff913c0319,hungarian,30,Female,condition 2,7.18605,FALSE,6.5,0.066666667,0.466666667,0.466666667,15,0.470588235,0.117647059,0.411764706,17
119,42.411,5,5,9,38.362,1,1,1,7.555,8,4.685,9,9.723,8,7.458,8,6.081,7,14.978,2,38.924,0,0,1,6131e5ed48eda3512389118a,English,20,Male,condition 1,5.444616667,FALSE,8.5,0.263157895,0.263157895,0.473684211,19,0.333333333,0.333333333,0.333333333,3
120,30.982,4,4,8,15.663,4,4,8,8.436,8,4.958,8,6.098,8,10.752,8,13.597,8,19.097,2,77.791,1,0,1,614f3417e4a88aa46f2eec27,romanian,42,Male,condition 2,6.502033333,FALSE,8,0.25,0.25,0.5,16,0.25,0.25,0.5,16
121,42.529,5,5,9,25.575,3,4,2,7.322,2,6.1,9,6.67,1,5.042,2,10.658,9,18.023,2,17.64,0,1,0,614e82d5717d691f24efffc0,Bengali,30,Male,condition 1,5.247333333,FALSE,5.5,0.263157895,0.263157895,0.473684211,19,0.444444444,0.333333333,0.222222222,9
122,64.254,9,9,9,16.005,5,5,9,11.31,9,4.688,9,5.2,9,6.392,9,7.079,9,35.607,2,24.998,0,0,1,611e439018a8f9c36bfdf69d,English,29,Female,condition 2,7.187366667,FALSE,9,0.333333333,0.333333333,0.333333333,27,0.263157895,0.263157895,0.473684211,19
123,49.534,9,9,9,33.015,9,9,9,11.543,9,7.179,9,11.666,5,12.901,6,18.506,3,36.565,4,38.199,0,1,1,606ece31a13e6a1c1dd08aad,English,37,Female,condition 1,9.793116667,FALSE,9,0.333333333,0.333333333,0.333333333,27,0.333333333,0.333333333,0.333333333,27
124,29.783,1,5,9,53.799,5,7,5,11.046,8,4.768,9,5.976,9,8.2,5,8.672,1,15.791,2,9.927,0,0,1,611d3750174eba1ae1cd159b,zulu,40,Female,condition 1,4.672166667,FALSE,8.5,0.333333333,0.066666667,0.6,15,0.411764706,0.294117647,0.294117647,17
125,37.32,7,3,6,44.639,4,8,5,11.64,7,6.762,6,8.99,6,9.527,3,11.65,3,13.833,2,18.736,0,0,1,61070c0a6afe728c0a8fd2f9,latvian,20,Male,condition 2,6.686466667,FALSE,6.5,0.1875,0.4375,0.375,16,0.470588235,0.235294118,0.294117647,17
126,44.221,7,1,7,24.21,7,2,7,9.789,7,4.684,9,4.67,8,3.849,7,7.536,2,8.186,2,11.465,0,0,1,59d40cd1c732930001d8896c,Finnish,21,Male,condition 2,5.572283333,FALSE,8,0.066666667,0.466666667,0.466666667,15,0.125,0.4375,0.4375,16
127,39.694,9,1,4,25.076,3,4,2,19.023,6,4.592,4,6.903,7,5.455,2,7.231,1,13.382,2,17.526,0,0,1,6029479174e6342e08999a2e,Polish,24,Male,condition 1,6.508616667,FALSE,5,0.071428571,0.642857143,0.285714286,14,0.444444444,0.333333333,0.222222222,9
128,57.125,9,1,5,41.671,1,9,5,9.268,9,16.536,8,6.703,9,9.031,6,22.999,1,35.562,2,22.017,1,0,1,613af396c961eafc8a97b4c5,Spanish,23,Female,condition 1,7.712733333,FALSE,8.5,0.066666667,0.6,0.333333333,15,0.6,0.066666667,0.333333333,15
129,33.716,5,5,9,17.798,5,5,5,8.329,7,12.269,7,47.796,8,7.103,7,4.71,3,12.599,2,104.693,0,0,1,5ef60257cd680928de23ccae,Hungarian,26,Male,condition 2,7.732683333,FALSE,7,0.263157895,0.263157895,0.473684211,19,0.333333333,0.333333333,0.333333333,15
130,43.93,5,5,9,48.985,3,6,9,9.623,8,5.983,9,6.584,9,8.45,6,9.19,1,26.163,2,33.367,1,0,1,612cdaa2042b4d9b9fb16acd,Isixhosa,28,Female,condition 1,8.47215,FALSE,8.5,0.263157895,0.263157895,0.473684211,19,0.333333333,0.166666667,0.5,18
131,58.95,5,5,9,48.365,7,8,9,23.646,7,4.831,9,10.36,9,10.096,7,12,1,30.878,2,38.967,0,0,1,6125ae81fffb033104b65f5a,Tswana,34,Female,condition 1,10.93321667,FALSE,8,0.263157895,0.263157895,0.473684211,19,0.333333333,0.291666667,0.375,24
132,18.831,7,3,5,14.215,5,8,5,3.687,5,4,7,2.887,8,2.88,6,4.879,3,6.368,2,9.863,0,0,1,5fcd834970a25cca470880ae,English,23,Male,condition 1,2.471333333,FALSE,6,0.2,0.466666667,0.333333333,15,0.444444444,0.277777778,0.277777778,18
133,44.079,8,1,9,35.828,8,5,9,6.979,9,3.961,9,2.563,9,5.293,9,11.25,5,13.316,2,21.843,0,0,1,5f08439b3a08d6022c7b5759,italian,34,Male,condition 2,12.63933333,FALSE,9,0.055555556,0.444444444,0.5,18,0.227272727,0.363636364,0.409090909,22
