,relation1RT,relation1Orange,relation1Blue,relation1OrangeBlue,relation2RT,relation2Orange,relation2Blue,relation2OrangeBlue,relation3RT,relation3Orange,relation3Blue,relation3OrangeBlue,relation4RT,relation4Orange,relation4Blue,relation4OrangeBlue,relation5RT,relation5Orange,relation5Blue,relation5OrangeBlue,expRT,expOrange,expBlue,expBoth,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionOrange,attentionBlue,attentionBulb,id,language,age,gender,condition,totalRT,flat,intentionMean,relation1BlueNorm,relation1OrangeNorm,relation1OrangeBlueNorm,max,relation2BlueNorm,relation2OrangeNorm,relation2OrangeBlueNorm,relation3BlueNorm,relation3OrangeNorm,relation3OrangeBlueNorm,relation4BlueNorm,relation4OrangeNorm,relation4OrangeBlueNorm,relation5BlueNorm,relation5OrangeNorm,relation5OrangeBlueNorm
93,47.002,6,4,5,22.736,5,5,7,6.651,4,4,7,5.583,2,2,8,9.028,1,1,9,66.631,3,7,5,5.726,2,14.223,2,24.743,0,0,1,5f1705733abc1c02b11c85f9,Polish,19,Male,condition 2,6.617816667,FALSE,6,0.266666667,0.4,0.333333333,11,0.294117647,0.294117647,0.411764706,0.266666667,0.266666667,0.466666667,0.166666667,0.166666667,0.666666667,0.090909091,0.090909091,0.818181818
94,32.025,6,4,5,10.207,6,4,5,7.214,6,3,5,8.673,7,3,4,7.704,5,5,9,10.18,4,7,9,7.64,1,8.47,2,67.983,0,0,1,5f316280965ec564c886f978,Polish,NA,NA,condition 1,4.707633333,FALSE,6.5,0.266666667,0.4,0.333333333,19,0.266666667,0.4,0.333333333,0.214285714,0.428571429,0.357142857,0.214285714,0.5,0.285714286,0.263157895,0.263157895,0.473684211
95,22.643,1,1,1,12.844,1,4,5,8.678,4,1,5,9.588,1,1,5,8.195,5,1,8,16.367,2,2,6,6.844,1,9.043,2,16.622,0,0,1,608865216bc2e88526195ea2,Polish,19,Male,condition 1,4.41715,FALSE,7,0.333333333,0.333333333,0.333333333,14,0.4,0.1,0.5,0.1,0.4,0.5,0.142857143,0.142857143,0.714285714,0.071428571,0.357142857,0.571428571
96,52.246,5,5,5,19.79,3,7,2,20.054,4,7,3,25.283,6,6,5,26.213,9,1,3,28.07,1,9,1,9.766,2,22.151,2,14.108,0,0,1,61758dd20888ba5bb43c90a5,Bulgarian,21,Male,condition 1,7.346783333,FALSE,9,0.333333333,0.333333333,0.333333333,13,0.583333333,0.25,0.166666667,0.5,0.285714286,0.214285714,0.352941176,0.352941176,0.294117647,0.076923077,0.692307692,0.230769231
97,28.495,8,2,6,16.966,7,5,7,8.242,8,5,4,5.359,5,5,5,12.382,9,3,6,22.525,9,3,5,10.716,3,22.595,2,15.423,0,0,1,615b2ac52b9f0f9b15710f53,Eng,24,Female,condition 1,5.955133333,FALSE,8,0.125,0.5,0.375,18,0.263157895,0.368421053,0.368421053,0.294117647,0.470588235,0.235294118,0.333333333,0.333333333,0.333333333,0.166666667,0.5,0.333333333
98,38.007,3,8,7,11.61,1,9,6,10.657,7,2,7,8.985,7,1,9,10.598,1,1,9,22.494,1,9,1,4.328,1,14.879,2,10.775,0,0,1,5c486e4bacdc40000151ba1f,Greek,24,Male,condition 1,5.016166667,FALSE,8.5,0.444444444,0.166666667,0.388888889,11,0.5625,0.0625,0.375,0.125,0.4375,0.4375,0.058823529,0.411764706,0.529411765,0.090909091,0.090909091,0.818181818
99,20.571,1,1,1,12.392,1,1,1,9.526,1,1,1,7.153,1,1,1,11.827,3,3,9,13.936,5,5,5,5.202,2,8.692,2,18.586,1,0,0,5eaff0f2c2728b034564f257,English,57,Female,condition 1,6.244366667,FALSE,7.5,0.333333333,0.333333333,0.333333333,15,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.2,0.2,0.6
100,37.39,5,5,5,14.543,3,3,7,13.633,6,3,8,11.16,7,1,9,15.086,6,2,9,13.116,1,9,5,6.034,1,7.189,2,11.799,0,0,1,6123eea8454d11a4aab5f42f,NA,NA,NA,condition 2,5.6777,FALSE,8,0.333333333,0.333333333,0.333333333,17,0.230769231,0.230769231,0.538461538,0.176470588,0.352941176,0.470588235,0.058823529,0.411764706,0.529411765,0.117647059,0.352941176,0.529411765
101,46.689,7,3,1,45.521,3,7,1,16.703,4,5,2,9.671,6,2,4,10.795,1,1,9,25.027,2,4,7,5.296,3,10.688,2,12.64,0,0,1,60c7375cba154e330acc1f70,English and Xhosa,22,Hide,condition 2,6.4713,FALSE,8.5,0.272727273,0.636363636,0.090909091,11,0.636363636,0.272727273,0.090909091,0.454545455,0.363636364,0.181818182,0.166666667,0.5,0.333333333,0.090909091,0.090909091,0.818181818
102,26.41,3,7,3,12.539,2,8,4,15.658,6,1,6,9.679,6,1,6,11.985,6,1,6,14.611,9,2,2,6.516,2,7.661,2,12.443,0,0,1,5dee5e827d91c34eceb20319,Portuguese,39,Male,condition 1,4.296333333,FALSE,9,0.538461538,0.230769231,0.230769231,13,0.571428571,0.142857143,0.285714286,0.076923077,0.461538462,0.461538462,0.076923077,0.461538462,0.461538462,0.076923077,0.461538462,0.461538462
103,24.287,4,4,4,9.605,1,2,1,6.806,1,2,1,8.295,1,1,5,5.205,1,1,9,9.987,1,1,1,3.965,1,6.689,2,7.554,0,0,1,614b3e048de88978e44cd9fd,Cantonese,35,Female,condition 1,3.411283333,FALSE,9,0.333333333,0.333333333,0.333333333,11,0.5,0.25,0.25,0.5,0.25,0.25,0.142857143,0.142857143,0.714285714,0.090909091,0.090909091,0.818181818
104,39.638,1,9,5,15.016,1,9,3,12.408,1,9,2,14.919,2,8,4,15.872,1,1,9,27.889,1,9,5,7.259,1,24.681,2,36.943,1,1,1,614f8321333460db43b7f229,Portuguese,68,Female,condition 2,10.17151667,FALSE,9,0.6,0.066666667,0.333333333,11,0.692307692,0.076923077,0.230769231,0.75,0.083333333,0.166666667,0.571428571,0.142857143,0.285714286,0.090909091,0.090909091,0.818181818
105,67.692,5,5,5,22.77,1,9,1,11.644,1,9,1,9.887,1,9,1,13.908,9,1,5,29.004,5,8,3,8.438,1,6.062,2,17.069,1,0,1,5e8dbc03461391042ebdf67c,NA,NA,NA,condition 2,5.434916667,FALSE,7.5,0.333333333,0.333333333,0.333333333,15,0.818181818,0.090909091,0.090909091,0.818181818,0.090909091,0.090909091,0.818181818,0.090909091,0.090909091,0.066666667,0.6,0.333333333
106,32.707,8,2,5,19.367,1,9,4,17.516,5,5,7,6.168,5,5,8,11.212,4,1,9,18.031,1,9,1,5.279,1,9.5,2,20.47,0,0,1,6053719d079d1352f4d7fa32,Portuguese,21,Male,condition 1,6.128716667,FALSE,9,0.133333333,0.533333333,0.333333333,14,0.642857143,0.071428571,0.285714286,0.294117647,0.294117647,0.411764706,0.277777778,0.277777778,0.444444444,0.071428571,0.285714286,0.642857143
107,29.488,5,5,5,22.678,5,6,4,15.123,5,6,4,9.426,5,5,6,14.066,6,5,6,15.469,3,7,3,7.53,1,12.739,2,40.772,0,0,1,611cdb4cf196e495123a7ac4,Spanish,24,Female,condition 1,6.195466667,FALSE,8.5,0.333333333,0.333333333,0.333333333,17,0.4,0.333333333,0.266666667,0.4,0.333333333,0.266666667,0.3125,0.3125,0.375,0.294117647,0.352941176,0.352941176
108,19.482,1,9,1,7.704,1,1,9,9.563,1,1,9,8.988,1,1,9,5.71,1,1,9,16.751,1,1,9,5.616,1,10.581,2,22.485,0,0,1,5eef7da8a4868b05c902ef2d,Portuguese,26,Male,condition 2,4.916833333,FALSE,9,0.818181818,0.090909091,0.090909091,11,0.090909091,0.090909091,0.818181818,0.090909091,0.090909091,0.818181818,0.090909091,0.090909091,0.818181818,0.090909091,0.090909091,0.818181818
109,69.25,5,5,9,22.325,5,5,9,32.268,9,1,1,11.288,9,1,1,16.33,9,9,9,32.502,9,1,5,6.462,7,36.067,2,30.642,0,0,1,617028061465253b03b9aabb,English,27,Female,condition 1,11.0639,FALSE,9,0.263157895,0.263157895,0.473684211,27,0.263157895,0.263157895,0.473684211,0.090909091,0.818181818,0.090909091,0.090909091,0.818181818,0.090909091,0.333333333,0.333333333,0.333333333
110,22.24,5,5,5,14.139,5,5,5,8.666,5,5,5,6.592,5,5,5,22.55,5,5,5,17.775,5,5,5,11.587,2,11.01,2,12.912,0,0,1,601553f8f9d8ea6035685e23,Bengali,41,Male,condition 1,5.2137,TRUE,8.5,0.333333333,0.333333333,0.333333333,15,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333
